locality;property_type;property_subtype;price;sale_type;bedroom_count;bathroom_count;net_Habital_surface;kitchen;furnished;open_fire;terrace;terrace_surface;garden;garden_surface;land_surface;land_plot_surface;facade_count;pool;building_state
Knokke-Zoute;APARTMENT;APARTMENT;4295000;FOR_SALE;3;2;163;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;1;1;;1;;;0;2;0;AS_NEW
Knokke-Heist;APARTMENT;APARTMENT;4295000;FOR_SALE;3;2;163;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;17;1;;;0;;0;
Knokke-Heist;HOUSE;EXCEPTIONAL_PROPERTY;4290000;FOR_SALE;5;3;260;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;925;0;3;0;GOOD
Ixelles;HOUSE;MANSION;4250000;FOR_SALE;16;1;1200;;;0;1;30;;;700;0;2;;AS_NEW
Binche;HOUSE;MIXED_USE_BUILDING;4222000;FOR_SALE;30;;;;;0;;;;;1;0;2;;
Rhode-Saint-Genese;HOUSE;VILLA;4200000;FOR_SALE;5;3;;{'surface': None, 'type': 'NOT_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;30;1;4800;5400;0;4;1;TO_RENOVATE
Knokke-Heist;APARTMENT_GROUP;APARTMENT_GROUP;;FOR_SALE;;;;;;0;;;;;;0;;;
Knokke;APARTMENT_GROUP;APARTMENT_GROUP;;FOR_SALE;;;;;;0;;;;;;0;;;
Knokke;APARTMENT_GROUP;APARTMENT_GROUP;;FOR_SALE;;;;;;0;;;;;;0;;;
Knokke-Heist;HOUSE_GROUP;HOUSE_GROUP;;FOR_SALE;;;;;;0;;;;;;0;;;
Knokke;HOUSE;HOUSE;4120000;FOR_SALE;5;4;;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;1194;0;4;0;AS_NEW
Knokke-Heist;HOUSE;VILLA;4120000;FOR_SALE;4;4;;;;0;1;;;;1194;0;4;;AS_NEW
Molenbeek-Saint-Jean;HOUSE;MIXED_USE_BUILDING;3990000;FOR_SALE;18;10;2343;;;0;;;;;0;0;2;;
Brasschaat;HOUSE;VILLA;3975000;FOR_SALE;9;8;1124;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;200;1;4992;4992;0;4;1;AS_NEW
Ixelles;HOUSE;MANSION;3950000;FOR_SALE;5;5;580;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;340;0;2;;AS_NEW
Bruxelles;HOUSE;CASTLE;3950000;FOR_SALE;14;5;1240;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;150000;153030;0;4;0;AS_NEW
Ternat;HOUSE;CASTLE;3950000;FOR_SALE;14;5;1240;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;150000;153030;0;4;0;AS_NEW
Ixelles;HOUSE;EXCEPTIONAL_PROPERTY;3950000;FOR_SALE;5;5;640;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;340;0;2;;AS_NEW
Brasschaat;HOUSE;VILLA;3950000;FOR_SALE;5;4;810;;0;0;;;;;50000;0;;;
Ixelles;HOUSE;HOUSE;3950000;FOR_SALE;4;5;800;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;0;0;2;;
Hannut;HOUSE;APARTMENT_BLOCK;3950000;FOR_SALE;0;;2000;;;0;1;;1;423;0;0;4;;AS_NEW
Asse;HOUSE;HOUSE;3950000;FOR_SALE;14;4;1240;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;100;1;150000;153030;0;4;;GOOD
Antwerp;HOUSE;APARTMENT_BLOCK;3948700;FOR_SALE;0;;;;;0;;;;;0;0;;0;
Rhode-St-Genèse;HOUSE;HOUSE;3900000;FOR_SALE;6;6;650;{'surface': 25, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;200;1;;3500;0;4;1;AS_NEW
RHODE-SAINT-GENESE;HOUSE;VILLA;3900000;FOR_SALE;6;6;580;;;1;1;;1;;3500;0;4;;AS_NEW
Rhode-Saint-Genese;HOUSE;VILLA;3900000;FOR_SALE;6;6;620;{'surface': 40, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;3000;0;4;1;AS_NEW
Rhode-Saint-Genèse;HOUSE;VILLA;3900000;FOR_SALE;6;6;620;{'surface': 1, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;1;2800;3300;0;4;1;AS_NEW
Uccle;HOUSE;VILLA;3900000;FOR_SALE;5;4;650;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;10000;0;4;;GOOD
Sint-Genesius-Rode;HOUSE;VILLA;3900000;FOR_SALE;6;6;618;;;0;;;1;;3000;0;;0;
Edegem;HOUSE;VILLA;3900000;FOR_SALE;6;3;750;;1;1;;;;;8008;0;4;1;AS_NEW
Uccle;HOUSE;EXCEPTIONAL_PROPERTY;3900000;FOR_SALE;7;8;600;{'surface': 30, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;130;1;9000;9800;700;4;0;GOOD
Waterloo;HOUSE;HOUSE;3900000;FOR_SALE;5;5;664;{'surface': None, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;5500;0;4;0;AS_NEW
